color,line,org,org_lat,org_lon,dst,dst_lat,dst_lon,dist
#FA9ABA,7,Villejuif-Paul Vaillant Couturier (Hôpital Paul B,48.795994132,2.3682314519,Villejuif-Louis Aragon,48.786638011,2.3671105274,0.6485305481
#FA9ABA,7,Villejuif-Louis Aragon,48.786638011,2.3671105274,Mairie d'Ivry,48.811214535,2.3835089287,1.8559075571
#6ECA97,7b,Pré-Saint-Gervais,48.880159932,2.3985866219,Danube,48.881951018,2.3932606759,0.272462667
#6ECA97,7b,Danube,48.881951018,2.3932606759,Botzaris,48.879607089,2.3894155697,0.2386279933
#6ECA97,7b,Botzaris,48.879607089,2.3894155697,Buttes-Chaumont,48.877803956,2.3812110997,0.3941486349
#6ECA97,7b,Buttes-Chaumont,48.877803956,2.3812110997,Bolivar,48.880790123,2.3741551267,0.3820963692
#6ECA97,7b,Bolivar,48.880790123,2.3741551267,Jaurès,48.882328025,2.3704769688,0.198477761
#6ECA97,7b,Jaurès,48.882328025,2.3704769688,Louis Blanc,48.881493429,2.3657752423,0.221902878
#E19BDF,8,Balard,48.836814989,2.2786833465,Lourmel,48.838668129,2.2822484884,0.2069864311
#E19BDF,8,Lourmel,48.838668129,2.2822484884,Boucicaut,48.841025355,2.2879238673,0.3058502105
#E19BDF,8,Boucicaut,48.841025355,2.2879238673,Félix Faure,48.842824568,2.2922249662,0.2322540764
#E19BDF,8,Félix Faure,48.842824568,2.2922249662,Commerce,48.844613672,2.2938029802,0.1430519038
#E19BDF,8,Commerce,48.844613672,2.2938029802,La Motte-Picquet-Grenelle,48.848803206,2.2976942347,0.3395644419
#E19BDF,8,La Motte-Picquet-Grenelle,48.848803206,2.2976942347,Ecole Militaire,48.854260922,2.3054395605,0.5167007365
#E19BDF,8,Ecole Militaire,48.854260922,2.3054395605,La Tour-Maubourg,48.857227861,2.3097962258,0.2854754268
#E19BDF,8,La Tour-Maubourg,48.857227861,2.3097962258,Invalides,48.861093468,2.3146433553,0.3466904244
#E19BDF,8,Invalides,48.861093468,2.3146433553,Concorde,48.865507222,2.3203628559,0.4012686634
#E19BDF,8,Concorde,48.865507222,2.3203628559,Madeleine,48.869507128,2.3246801996,0.3393111021
#E19BDF,8,Madeleine,48.869507128,2.3246801996,Opéra,48.87063108,2.3317370484,0.3309292703
#E19BDF,8,Opéra,48.87063108,2.3317370484,Richelieu-Drouot,48.872006239,2.3399113906,0.3845437999
#E19BDF,8,Richelieu-Drouot,48.872006239,2.3399113906,Grands Boulevards,48.871574744,2.342895032,0.139234665
#E19BDF,8,Grands Boulevards,48.871574744,2.342895032,Bonne Nouvelle,48.870576754,2.3484942937,0.2643894692
#E19BDF,8,Bonne Nouvelle,48.870576754,2.3484942937,Strasbourg-Saint-Denis,48.86938078,2.3540796522,0.2676856155
#E19BDF,8,Strasbourg-Saint-Denis,48.86938078,2.3540796522,République,48.867671519,2.3633291208,0.4378801232
#E19BDF,8,République,48.867671519,2.3633291208,Filles du Calvaire,48.863078176,2.3667458836,0.3535660581
#E19BDF,8,Filles du Calvaire,48.863078176,2.3667458836,Saint-Sébastien-Froissart,48.860974997,2.367262295,0.1472263001
#E19BDF,8,Saint-Sébastien-Froissart,48.860974997,2.367262295,Chemin Vert,48.857586544,2.3680366949,0.236792175
#E19BDF,8,Chemin Vert,48.857586544,2.3680366949,Bastille,48.853739623,2.3691648179,0.2707567038
#E19BDF,8,Bastille,48.853739623,2.3691648179,Ledru-Rollin,48.851194165,2.375931737,0.3551884524
#E19BDF,8,Ledru-Rollin,48.851194165,2.375931737,Faidherbe-Chaligny,48.850067668,2.3844287707,0.3952286786
#E19BDF,8,Faidherbe-Chaligny,48.850067668,2.3844287707,Reuilly-Diderot,48.847217501,2.3872041772,0.2341130511
#E19BDF,8,Reuilly-Diderot,48.847217501,2.3872041772,Montgallet,48.844403092,2.3902516532,0.2390370528
#E19BDF,8,Montgallet,48.844403092,2.3902516532,Daumesnil (Félix Eboué),48.83968214,2.3955841703,0.4069093255
#E19BDF,8,Daumesnil (Félix Eboué),48.83968214,2.3955841703,Michel Bizot,48.836991038,2.4029196069,0.3827991859
#E19BDF,8,Michel Bizot,48.836991038,2.4029196069,Porte Dorée,48.835497253,2.4061852122,0.1812307901
#E19BDF,8,Porte Dorée,48.835497253,2.4061852122,Porte de Charenton,48.832660346,2.4004636384,0.3264230432
#E19BDF,8,Porte de Charenton,48.832660346,2.4004636384,Liberté,48.825637112,2.4074108054,0.5796366184
#E19BDF,8,Liberté,48.825637112,2.4074108054,Charenton-Ecoles,48.821489819,2.4138567623,0.4106448739
#E19BDF,8,Charenton-Ecoles,48.821489819,2.4138567623,Ecole Vétérinaire de Maisons-Alfort,48.81507632,2.4216317667,0.5676965508
#E19BDF,8,Ecole Vétérinaire de Maisons-Alfort,48.81507632,2.4216317667,Maisons-Alfort-Stade,48.808225347,2.4362758211,0.8190060105
#E19BDF,8,Maisons-Alfort-Stade,48.808225347,2.4362758211,Maisons-Alfort-Les Juilliottes,48.802500442,2.4461836186,0.6008361595
#E19BDF,8,Maisons-Alfort-Les Juilliottes,48.802500442,2.4461836186,Créteil-L'Echat (Hôpital Henri Mondor),48.796601298,2.4495315244,0.4353390104
#E19BDF,8,Créteil-L'Echat (Hôpital Henri Mondor),48.796601298,2.4495315244,Créteil-Université,48.789724316,2.4508361064,0.4789177114
#E19BDF,8,Créteil-Université,48.789724316,2.4508361064,Créteil-Préfecture (Hôtel de Ville),48.779757258,2.4593142911,0.7900713716
#E19BDF,8,Créteil-Préfecture (Hôtel de Ville),48.779757258,2.4593142911,Pointe du Lac,48.768768636,2.4643193989,0.7929747989
#B6BD00,9,Pont de Sèvres,48.829690338,2.2305284342,Billancourt,48.832087644,2.2381607769,0.3855893689
#B6BD00,9,Billancourt,48.832087644,2.2381607769,Marcel Sembat,48.833808587,2.2434806144,0.270253713
#B6BD00,9,Marcel Sembat,48.833808587,2.2434806144,Porte de Saint-Cloud,48.837565334,2.2555912744,0.6103944762
#B6BD00,9,Porte de Saint-Cloud,48.837565334,2.2555912744,Exelmans,48.842906979,2.2601443979,0.4235241824
#B6BD00,9,Exelmans,48.842906979,2.2601443979,Michel-Ange-Molitor,48.845056129,2.2619114233,0.1689661456
#B6BD00,9,Michel-Ange-Molitor,48.845056129,2.2619114233,Michel-Ange-Auteuil,48.847924593,2.2642359058,0.2247814641
