org,org_lat,org_lon,dst,dst_lat,dst_lon,color,line,dist
Félix Faure,48.842824568,2.2922249662,Commerce,48.844613672,2.2938029802,#E19BDF,8,0.1430519038
Commerce,48.844613672,2.2938029802,La Motte-Picquet-Grenelle,48.848803206,2.2976942347,#E19BDF,8,0.3395644419
La Motte-Picquet-Grenelle,48.848803206,2.2976942347,Ecole Militaire,48.854260922,2.3054395605,#E19BDF,8,0.5167007365
Ecole Militaire,48.854260922,2.3054395605,La Tour-Maubourg,48.857227861,2.3097962258,#E19BDF,8,0.2854754268
La Tour-Maubourg,48.857227861,2.3097962258,Invalides,48.861093468,2.3146433553,#E19BDF,8,0.3466904244
Invalides,48.861093468,2.3146433553,Concorde,48.865507222,2.3203628559,#E19BDF,8,0.4012686634
Concorde,48.865507222,2.3203628559,Madeleine,48.869507128,2.3246801996,#E19BDF,8,0.3393111021
Madeleine,48.869507128,2.3246801996,Opéra,48.87063108,2.3317370484,#E19BDF,8,0.3309292703
Opéra,48.87063108,2.3317370484,Richelieu-Drouot,48.872006239,2.3399113906,#E19BDF,8,0.3845437999
Richelieu-Drouot,48.872006239,2.3399113906,Grands Boulevards,48.871574744,2.342895032,#E19BDF,8,0.139234665
Grands Boulevards,48.871574744,2.342895032,Bonne Nouvelle,48.870576754,2.3484942937,#E19BDF,8,0.2643894692
Bonne Nouvelle,48.870576754,2.3484942937,Strasbourg-Saint-Denis,48.86938078,2.3540796522,#E19BDF,8,0.2676856155
Strasbourg-Saint-Denis,48.86938078,2.3540796522,République,48.867671519,2.3633291208,#E19BDF,8,0.4378801232
République,48.867671519,2.3633291208,Filles du Calvaire,48.863078176,2.3667458836,#E19BDF,8,0.3535660581
Filles du Calvaire,48.863078176,2.3667458836,Saint-Sébastien-Froissart,48.860974997,2.367262295,#E19BDF,8,0.1472263001
Saint-Sébastien-Froissart,48.860974997,2.367262295,Chemin Vert,48.857586544,2.3680366949,#E19BDF,8,0.236792175
Chemin Vert,48.857586544,2.3680366949,Bastille,48.853739623,2.3691648179,#E19BDF,8,0.2707567038
Bastille,48.853739623,2.3691648179,Ledru-Rollin,48.851194165,2.375931737,#E19BDF,8,0.3551884524
Ledru-Rollin,48.851194165,2.375931737,Faidherbe-Chaligny,48.850067668,2.3844287707,#E19BDF,8,0.3952286786
Faidherbe-Chaligny,48.850067668,2.3844287707,Reuilly-Diderot,48.847217501,2.3872041772,#E19BDF,8,0.2341130511
Reuilly-Diderot,48.847217501,2.3872041772,Montgallet,48.844403092,2.3902516532,#E19BDF,8,0.2390370528
Montgallet,48.844403092,2.3902516532,Daumesnil (Félix Eboué),48.83968214,2.3955841703,#E19BDF,8,0.4069093255
Daumesnil (Félix Eboué),48.83968214,2.3955841703,Michel Bizot,48.836991038,2.4029196069,#E19BDF,8,0.3827991859
Michel Bizot,48.836991038,2.4029196069,Porte Dorée,48.835497253,2.4061852122,#E19BDF,8,0.1812307901
Porte Dorée,48.835497253,2.4061852122,Porte de Charenton,48.832660346,2.4004636384,#E19BDF,8,0.3264230432
Porte de Charenton,48.832660346,2.4004636384,Liberté,48.825637112,2.4074108054,#E19BDF,8,0.5796366184
Liberté,48.825637112,2.4074108054,Charenton-Ecoles,48.821489819,2.4138567623,#E19BDF,8,0.4106448739
Charenton-Ecoles,48.821489819,2.4138567623,Ecole Vétérinaire de Maisons-Alfort,48.81507632,2.4216317667,#E19BDF,8,0.5676965508
Ecole Vétérinaire de Maisons-Alfort,48.81507632,2.4216317667,Maisons-Alfort-Stade,48.808225347,2.4362758211,#E19BDF,8,0.8190060105
Maisons-Alfort-Stade,48.808225347,2.4362758211,Maisons-Alfort-Les Juilliottes,48.802500442,2.4461836186,#E19BDF,8,0.6008361595
Maisons-Alfort-Les Juilliottes,48.802500442,2.4461836186,Créteil-L'Echat (Hôpital Henri Mondor),48.796601298,2.4495315244,#E19BDF,8,0.4353390104
Créteil-L'Echat (Hôpital Henri Mondor),48.796601298,2.4495315244,Créteil-Université,48.789724316,2.4508361064,#E19BDF,8,0.4789177114
Créteil-Université,48.789724316,2.4508361064,Créteil-Préfecture (Hôtel de Ville),48.779757258,2.4593142911,#E19BDF,8,0.7900713716
Créteil-Préfecture (Hôtel de Ville),48.779757258,2.4593142911,Pointe du Lac,48.768768636,2.4643193989,#E19BDF,8,0.7929747989
Pont de Sèvres,48.829690338,2.2305284342,Billancourt,48.832087644,2.2381607769,#B6BD00,9,0.3855893689
Billancourt,48.832087644,2.2381607769,Marcel Sembat,48.833808587,2.2434806144,#B6BD00,9,0.270253713
Marcel Sembat,48.833808587,2.2434806144,Porte de Saint-Cloud,48.837565334,2.2555912744,#B6BD00,9,0.6103944762
Porte de Saint-Cloud,48.837565334,2.2555912744,Exelmans,48.842906979,2.2601443979,#B6BD00,9,0.4235241824
Exelmans,48.842906979,2.2601443979,Michel-Ange-Molitor,48.845056129,2.2619114233,#B6BD00,9,0.1689661456
Michel-Ange-Molitor,48.845056129,2.2619114233,Michel-Ange-Auteuil,48.847924593,2.2642359058,#B6BD00,9,0.2247814641
